source,target,value
Naruto,Sasuke,803
Sakura,Sasuke,492
Naruto,Sakura,447
Hinata,Naruto,326
Akamaru,Kiba,237
Orochimaru,Sasuke,219
Kiba,Naruto,216
Kakashi,Sasuke,182
Kurenai,Yakumo,176
Naruto,Tsunade,174
Ino,Sakura,169
Akamaru,Naruto,167
Kakashi,Naruto,151
Iruka,Naruto,126
Naruto,Neji,124
Lee,Naruto,106
Guy,Lee,100
Naruto,Orochimaru,100
Choji,Naruto,99
Hokage,Naruto,96
Naruto,Shikamaru,95
Lee,Sasuke,95
Hinata,Kiba,93
Gaara,Sasuke,86
Sasuke,Uchiha,86
Akahoshi,Sumaru,85
Sasuke,Shikamaru,79
Choji,Shikamaru,79
Gaara,Naruto,77
Orochimaru,Tsunade,76
Chishima,Toki,74
Hinata,Neji,74
Arashi,Sasame,74
Raiga,Ranmaru,68
Kakashi,Sakura,68
Mizuki,Naruto,67
Naruto,Pervy,65
Naruto,–,64
Iruka,Mizuki,64
Lee,Sakura,63
Moso,Sagi,61
Naruto,Shino,60
Akio,Gantetsu,60
Orochimaru,Sasame,59
Gaara,Lee,58
Ino,Sasuke,58
Naruto,the,57
Hinata,Shino,57
Arashi,Orochimaru,55
Sagi,Toki,53
Jiraiya,Naruto,53
Choji,Hinata,52
Komei,Moso,52
Lee,Neji,52
Akamaru,Hinata,51
Byakugan,Naruto,50
Naruto,Rasengan,50
Neji,Sasuke,50
Itachi,Sasuke,49
Arashi,Naruto,48
Naruto,The,47
Hokage,Sasuke,47
Sasuke,Tsunade,45
Naruto,Zabuza,45
Naruto,Yakumo,45
Chishima,Naruto,44
Menma,Naruto,44
Komei,Sagi,43
Kurenai,Naruto,42
Sagi,the,42
Jiraiya,Tsunade,42
Natsuhiboshi,Sumaru,41
Kiba,Shino,41
Kabuto,Sasuke,40
Kurenai,Sensei,40
Guy,Naruto,40
Byakugan,Hinata,39
Choji,Kiba,39
Sakura,Shikamaru,39
Bushy,Lee,39
Konohamaru,Naruto,38
Choji,Neji,38
Bushy,Naruto,37
Sakura,Sasame,37
Naruto,Sasame,37
Naruto,Toki,37
Kimimaro,Orochimaru,37
Kakashi,Lee,36
Akio,Todoroki,36
Choji,Sasuke,36
Chunin,Sasuke,36
Gantetsu,Todoroki,35
Choji,Ino,34
Chishima,Sagi,33
Akio,Naruto,33
Jiraiya,Orochimaru,32
Hanzaki,Sasame,32
Sakura,Tsunade,32
Hinata,Sasuke,32
Byakugan,Neji,31
Mizuki,Orochimaru,31
Hokage,Tsunade,31
Komei,the,31
Guy,Sasuke,31
Ino,Naruto,31
Naruto,Ninja,31
Humph,Naruto,30
Kiba,Shikamaru,30
Sasuke,Yoroi,30
Naruto,Yurinojou,30
Kurenai,Shino,30
Ino,Shikamaru,30
Orochimaru,the,29
Gantetsu,Naruto,29
Orochimaru,Sakura,29
Akamaru,Shino,29
Naruto,Sagi,28
Kabuto,Orochimaru,28
Moso,the,28
Iruka,Sasuke,28
Kiba,Neji,28
Naruto,Tazuna,27
Choji,Yurinojou,27
Sannin,Tsunade,27
Anko,Orochimaru,27
Kurenai,Sakura,27
Haruna,Naruto,27
Natsuhi,Sumaru,27
Gaara,Sakura,27
Mizura,Sumaru,26
Shizune,Tsunade,26
Kiba,Kurenai,26
Sensei,Yakumo,26
Sasuke,Sensei,26
Arashi,Sasuke,26
Chen,Peking,26
Asuma,Kurenai,25
Chidori,Naruto,25
Kakashi,Zabuza,24
Choji,Sakura,24
Lee,Tenten,24
Jiraiya,Pervy,24
Konohamaru,Tsunade,24
Kiba,Sasuke,24
Hinata,Kurenai,24
Hanzaki,Orochimaru,24
Akahoshi,Mizura,24
Chidori,Sasuke,24
Kabuto,Tsunade,24
Haku,Naruto,24
Haku,Sasuke,23
Naruto,Sensei,23
Ninja,Sasuke,23
Humph,Sasuke,23
Hinata,Sakura,23
Fujin,Raijin,23
Kakashi,Orochimaru,23
Karashi,Sansho,23
Gaara,Yashamaru,23
Akamaru,Sasuke,22
Kiba,Yakumo,22
Guy,Sakura,22
Hinata,Yakumo,22
Naruto,Sumaru,22
Naruto,Uchiha,22
Lee,Sensei,22
Moso,Owashi,22
Gaara,Shikamaru,22
Kabuto,Naruto,22
Hokage,Orochimaru,21
Sasuke,Zabuza,21
Naruto,Tenten,21
Sasuke,the,21
Haku,Zabuza,21
Gaara,Kankuro,21
Neji,Shikamaru,21
Orochimaru,Shizune,21
Kakashi,Kurenai,20
Naruto,Shadow,20
Guy,Kakashi,20
Naruto,Transform,20
Akamaru,Tsunade,20
Jonin,Naruto,20
Hinata,Tsunade,20
Chidori,Kakashi,20
Neji,Tenten,20
Komei,Owashi,19
Kakashi,Tsunade,19
Akahoshi,Naruto,19
Mizuki,Tsubaki,19
Manda,Orochimaru,19
Tonton,Tsunade,19
Sasuke,Sharingan,19
Hinata,Yurinojou,19
Sasuke,The,19
Gaara,Kakashi,19
Chunin,Naruto,19
Hokage,Iruka,19
Guy,Neji,19
Pervy,Sakura,19
Kiba,Sakura,19
Hoshikage,Sumaru,19
Kikunojou,Naruto,18
Gaara,Matsuri,18
The,the,18
Naruto,Onbu,18
Arashi,Hanzaki,18
Shikamaru,Tsunade,18
Akahoshi,Hoshikage,18
Iruka,Konohamaru,18
Karashi,Lee,18
Haruna,Kikunojou,18
Jin,Tori,18
Naruto,Shizune,18
Orochimaru,Sarutobi,18
Kiba,Tsunade,18
Arashi,Sakura,18
Owashi,Sagi,18
Gaara,–,18
Gaara,Uchiha,17
Gaara,Temari,17
Itachi,Naruto,17
Mizuki,Tsunade,17
Akahoshi,Natsuhi,17
Ne,Tori,17
Orochimaru,Pervy,17
Hinata,Shikamaru,17
Hiashi,Hinata,17
Mizuki,Raijin,17
Lee,Tsunade,17
Moso,Toki,17
Murakumo,Yakumo,17
Iruka,Tsubaki,17
Iruka,Orochimaru,16
Kagero,Sasame,16
Itachi,Kakashi,16
Gaara,Kazekage,16
Pervy,Tsunade,16
Sasuke,Tazuna,16
Sasuke,Shino,16
Komei,Toki,16
Gaara,Neji,16
Gosunkugi,Sazanami,16
Haruna,Hinata,16
Sakura,The,16
Hokuto,Sumaru,16
Hokage,Kiba,16
Tori,saru,16
Lee,Shikamaru,16
Pervy,Sasuke,16
Akamaru,Hokage,16
Shino,Yakumo,16
Jiraiya,Sasame,15
Sakura,Sensei,15
Jutsu,Sasuke,15
Gantetsu,Monju,15
Jiraiya,Sannin,15
Orochimaru,The,15
Choji,Haruna,15
Sakura,the,15
The,Tsunade,15
Akamaru,Choji,15
Jin,saru,15
Genin,Hinata,15
Hokage,Konohamaru,15
Akahoshi,Neji,15
Isaribi,Naruto,15
Karashi,Raiga,15
Konohamaru,Sasuke,15
Genno,Naruto,15
Dojo,Lee,14
Gaara,Shukaku,14
Itachi,Uchiha,14
Akahoshi,Hokuto,14
Naruto,Todoroki,14
Tazuna,Zabuza,14
Dojo,Naruto,14
Sakura,Yakumo,14
Ino,Shino,14
Sasuke,–,14
Chishima,a,14
Sakura,Zabuza,14
Bushy,Sasuke,14
Hokage,Sakura,14
Lee,Yagura,14
Sasame,Sasuke,14
Hinata,Hyuga,14
Fujin,Mizuki,14
Jutsu,Naruto,14
Tsunade,the,14
Asuma,Orochimaru,14
Neji,Sumaru,14
Tsunade,–,14
Pervy,Sasame,14
Kankuro,Temari,13
Kagero,Orochimaru,13
Sakura,Shino,13
Chishima,Moso,13
Tyson,Yogabut,13
Asuma,Kakashi,13
Peking,Sanchez,13
Jonin,Kurenai,13
Sanchez,Tyson,13
Sanchez,Yogabut,13
Kikusuke,Yurinoshin,13
Naruto,Raiga,13
Hiashi,Hizashi,13
Hinata,Lee,13
Akamaru,–,13
Byakugan,Kiba,13
Neji,Sakura,13
Neji,Sagi,13
Hokuto,Mizura,13
Hokage,Uchiha,13
Sasame,the,13
Chen,Sanchez,13
Chen,Ole,13
Boulder,Choji,13
Yakumo,Yuhi,13
Gosunkugi,Naruto,13
Naruto,Shinobi,13
Bikochu,Naruto,13
Genno,Shikamaru,13
Chen,Popo,13
Iruka,Tsunade,13
Owashi,Toki,13
Naruto,Tsubaki,13
Peking,Popo,13
Ole,Tyson,13
Ayame,Ryonin,13
Ole,Yogabut,13
Ole,Peking,13
Ole,Popo,13
Ole,Sanchez,13
Sakura,Uchiha,12
Shikamaru,Shino,12
Sakura,–,12
Akamaru,Shikamaru,12
Akamaru,Sakura,12
Dan,Tsunade,12
Guy,Rokusuke,12
Guy,Yagura,12
Moso,Naruto,12
Gosunkugi,Hinata,12
Tori,ushi,12
Gato,Naruto,12
Jiraiya,Sasuke,12
Naruto,Sannin,12
Sakura,Tazuna,12
Kankuro,Sasuke,12
Sasuke,Zaku,12
Genin,Naruto,12
Rasengan,Sakura,12
Orochimaru,Sannin,12
Idate,Naruto,12
Idate,Sakura,12
Bikochu,Hinata,12
Akamaru,Neji,11
Kakashi,Ninja,11
Gaara,Sand,11
Hinata,Hizashi,11
Genno,Leaf,11
Arashi,Jiraiya,11
Aoi,Idate,11
Ninja,Orochimaru,11
Isaribi,the,11
Kakashi,Neji,11
Kakashi,Pervy,11
Itachi,Kisame,11
Hayate,Orochimaru,11
Bushy,Tsunade,11
Hyuga,Naruto,11
Haruna,Yurinojou,11
Kimimaro,Sasuke,11
Rock,Sasuke,11
